IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
114,3.14,54,97,2.62,0
117,6.09,89,75,4.56,1
134,9.86,73,80,6.83,1
137,5.52,100,63,6.96,1
137,6.37,82,58,2.84,1
79,7.82,28,69,3.8,1
91,9.16,81,90,1.81,0
106,9.43,21,36,7.89,0
140,4.52,55,45,0.57,0
82,6.96,60,68,6.97,0
128,9.06,56,59,7.79,1
135,6.56,68,83,7.77,0
109,9.42,45,54,2.59,0
116,9.45,87,23,3.74,0
107,3.58,55,80,5.88,0
95,4.94,50,48,2.73,1
147,3.07,49,49,3.71,1
142,8.9,53,18,1.97,1
79,7.53,38,23,4.6,1
90,8.89,37,17,0.45,1
150,4.85,22,90,8.0,0
139,5.78,89,32,0.77,1
149,6.87,32,89,5.19,0
125,7.23,91,72,8.45,1
103,5.67,44,85,3.92,1
88,8.34,76,51,4.28,0
132,9.12,68,94,7.21,1
145,4.76,83,66,5.34,1
98,6.45,59,77,2.18,0
111,8.71,92,43,6.52,1
87,5.89,35,58,1.93,0
122,7.65,81,88,9.14,1
96,9.28,47,29,3.67,0
130,3.92,70,95,4.81,1
108,6.78,53,62,5.73,0
143,8.56,88,74,8.92,1
85,4.21,41,39,2.35,0
118,9.67,95,81,7.48,1
102,5.34,62,46,4.09,0
127,7.89,79,91,6.85,1
94,6.12,48,55,3.21,0
138,8.43,86,78,8.67,1
81,5.56,33,41,1.74,0
124,7.98,84,87,7.93,1
105,9.34,51,34,5.82,0
141,4.68,77,69,4.46,1
99,6.89,58,76,3.58,0
133,8.23,90,93,8.34,1
89,5.78,39,52,2.91,0
119,7.45,85,82,6.74,1
92,9.01,46,38,4.15,0
129,6.34,72,89,7.56,1
104,5.23,57,64,3.47,0
136,8.78,91,79,8.21,1
86,4.56,42,44,2.68,0
121,7.12,78,86,6.39,1
97,9.45,52,31,5.94,0
144,3.89,75,92,4.73,1
101,6.67,61,71,3.85,0
126,8.12,80,84,7.68,1
93,5.45,43,49,2.56,0
137,9.23,87,77,8.45,1
84,4.34,36,42,1.89,0
123,7.56,83,85,7.12,1
100,6.78,54,68,4.23,0
131,8.67,89,90,8.78,1
88,5.12,40,47,2.34,0
120,7.89,82,83,6.91,1
95,9.12,49,35,5.67,0
146,4.23,74,88,5.12,1
106,6.45,63,73,3.94,0
134,8.34,88,80,7.89,1
83,5.67,37,46,2.45,0
125,7.78,85,89,7.34,1
99,9.56,50,32,6.12,0
148,3.76,76,94,4.89,1
107,6.23,64,75,4.12,0
135,8.45,92,78,8.56,1
87,4.89,38,43,2.78,0
122,7.34,84,87,6.67,1
96,9.78,48,36,5.45,0
142,4.12,73,91,5.34,1
105,6.56,65,70,3.67,0
133,8.89,93,81,8.23,1
85,5.34,41,48,2.12,0
124,7.67,86,88,7.45,1
98,9.34,51,33,6.34,0
147,3.98,78,93,4.78,1
108,6.78,66,76,4.23,0
136,8.56,91,79,8.12,1
86,5.45,42,45,2.89,0
123,7.89,85,89,7.23,1
97,9.67,52,34,5.78,0
145,4.34,75,92,5.23,1
106,6.34,67,74,3.89,0
134,8.23,90,80,8.34,1
84,5.67,39,46,2.45,0
